epoch,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae
0,0.8008955180050875,1.5647882654265646,1.5762201437573704,0.5670812125255583,0.9911381946379144,1.012835500403558
1,0.6802339452304251,1.3559414165960026,1.2552208529577422,0.5511796979248796,0.8971510375872794,0.8568181388192996
2,0.5855031857563425,1.3318458669743094,1.43844116470236,0.44045391550901797,0.8477604792115355,0.8798072093347269
3,0.5767007292521446,1.4261516059221464,1.3467256716440505,0.4781925399639325,0.882849409260268,0.8915686951132588
4,0.5529339391795334,1.3227686484504815,1.3341653646905518,0.45796998837084174,0.8429191089602575,0.8678165070652305
5,0.5526860556608618,1.3673261364691867,1.5280889837698963,0.4212337895700775,0.8402441896399504,0.8997829923993034
6,0.46645185589695437,1.118590872093188,1.1736852323196312,0.37379978788129864,0.7773216930683412,0.7977109693863154
7,0.4294233122312401,1.070157380669636,1.0998717018140565,0.38048931701928734,0.7934881974774735,0.8099956237628643
8,0.4258303428047458,0.8818399184899889,0.9987984811270533,0.36121305933070613,0.6785404545881367,0.7270808806689445
9,0.4754355456508068,1.1766072609827416,1.2546905332661005,0.37632368927296617,0.7789606452035684,0.8178693149064938
10,0.38231388583008863,1.0117538095643774,1.0872428531410452,0.33399221018670777,0.7165264662632667,0.7452030636462607
11,0.3548030066735633,0.9392371897689861,0.9377910788148579,0.3302290650453736,0.7016246773158319,0.7107068967013415
12,0.3409412494039884,0.9180922071624953,1.0457472729531436,0.31242879168768967,0.6760500233840284,0.7301670063850787
13,0.3450695900492527,0.9170599958967798,0.9616310599898834,0.3183844144123377,0.6918774227114318,0.7275286794000627
14,0.356181870787699,0.80469034505993,0.9847615937402565,0.3458401175872302,0.6407094180825738,0.7133177869909032
15,0.4289434957234884,1.0207284343557292,1.09368303476413,0.33954413855382465,0.710886500568412,0.7530376825454451
16,0.3369362263455378,0.9260213236299765,1.1502240493057878,0.3117287348548283,0.6725261491919715,0.7773268127326243
17,0.3312437911754608,0.9386575583627558,0.9806582293378849,0.30660817877869556,0.6929973117458761,0.722455391213488
18,0.30813567015288146,0.8386053692750232,0.953976948828004,0.2905584376548741,0.6375015260616562,0.7023613459160463
19,0.3543718944739681,0.9744477710837647,1.0421542274852156,0.3161611734632336,0.7031788217353131,0.7444776480871114
20,0.30670393381933986,0.7407179942535461,0.8542814238313244,0.2987662226110901,0.6048174704606609,0.6603856124126692
21,0.40306575443871634,1.0427913941783817,1.1625025573727017,0.3337379749881077,0.7368116715771996,0.8063015114309393
22,0.28656583263708296,0.9015625322812271,1.010126985348326,0.2742965016149067,0.6547054140130982,0.7165623191342214
23,0.2755086718065645,0.7846500346345028,0.8968812672193583,0.27741938705355584,0.6173709176578912,0.6737598189826843
